tab:1secMeasurement
garbage,trash,count,time,shit,crap,piss
2,11094,2,1000000,65,128,0
2,11109,1,1000000,65,128,0
2,11124,0,1000000,65,128,0
2,11139,1,1000000,65,128,0
2,11155,0,1000000,65,128,0
2,11170,2,1000000,65,128,0
2,11185,0,1000000,65,128,0
2,11200,1,1000000,65,128,0
2,11216,2,1000000,65,128,0
2,11231,0,1000000,65,128,0
2,11246,2,1000000,65,128,0
2,11261,1,1000000,65,128,0
2,11277,2,1000000,65,128,0
2,11292,1,1000000,65,128,0
2,11307,0,1000000,65,128,0
2,11323,2,1000000,65,128,0
2,11338,1,1000000,65,128,0
2,11353,2,1000000,65,128,0
2,11368,1,1000000,65,128,0
2,11384,0,1000000,65,128,0
2,11399,3,1000000,65,128,0
2,11414,1,1000000,65,128,0
2,11429,1,1000000,65,128,0
2,11445,3,1000000,65,128,0
2,11460,2,1000000,65,128,0
2,11475,2,1000000,65,128,0
2,11490,1,1000000,65,128,0
2,11506,1,1000000,65,128,0
2,11521,1,1000000,65,128,0
2,11536,1,1000000,65,128,0
2,11551,1,1000000,65,128,0
2,11567,0,1000000,65,128,0
2,11582,2,1000000,65,128,0
2,11597,2,1000000,65,128,0
2,11612,1,1000000,65,128,0
2,11628,1,1000000,65,128,0
2,11643,0,1000000,65,128,0
2,11658,1,1000000,65,128,0
2,11673,0,1000000,65,128,0
2,11689,1,1000000,65,128,0
2,11704,1,1000000,65,128,0
2,11719,0,1000000,65,128,0
2,11734,0,1000000,65,128,0
2,11750,1,1000000,65,128,0
2,11765,1,1000000,65,128,0
2,11780,1,1000000,65,128,0
2,11796,1,1000000,65,128,0
2,11811,0,1000000,65,128,0
2,11826,2,1000000,65,128,0
2,11841,0,1000000,65,128,0
2,11857,0,1000000,65,128,0
2,11872,0,1000000,65,128,0
2,11887,0,1000000,65,128,0
2,11902,1,1000000,65,128,0
2,11918,0,1000000,65,128,0
2,11933,2,1000000,65,128,0
2,11948,0,1000000,65,128,0
2,11963,1,1000000,65,128,0
2,11979,2,1000000,65,128,0
2,11994,2,1000000,65,128,0
2,12009,1,1000000,65,128,0
2,12024,1,1000000,65,128,0
2,12040,1,1000000,65,128,0
2,12055,0,1000000,65,128,0
2,12070,0,1000000,65,128,0
2,12085,2,1000000,65,128,0
2,12101,2,1000000,65,128,0
2,12116,1,1000000,65,128,0
2,12131,0,1000000,65,128,0
2,12146,3,1000000,65,128,0
2,12162,0,1000000,65,128,0
2,12177,1,1000000,65,128,0
2,12192,2,1000000,65,128,0
2,12208,2,1000000,65,128,0
2,12223,0,1000000,65,128,0
2,12238,4,1000000,65,128,0
2,12253,1,1000000,65,128,0
2,12269,0,1000000,65,128,0
2,12284,2,1000000,65,128,0
2,12299,0,1000000,65,128,0
2,12314,0,1000000,65,128,0
2,12330,0,1000000,65,128,0
2,12345,1,1000000,65,128,0
2,12360,3,1000000,65,128,0
2,12375,1,1000000,65,128,0
2,12391,1,1000000,65,128,0
2,12406,1,1000000,65,128,0
2,12421,0,1000000,65,128,0
2,12436,1,1000000,65,128,0
2,12452,1,1000000,65,128,0
